Brand=["KovaScape"],Reporting Range=["Weekly"],Select week=["Week 15 | 2026-04-05 - 2026-04-11 2026"]
"Search Query","Search Query Score","Search Query Volume","Impressions: Total Count","Impressions: Brand Count","Impressions: Brand Share %","Clicks: Total Count","Clicks: Click Rate %","Clicks: Brand Count","Clicks: Brand Share %","Clicks: Price (Median)","Clicks: Brand Price (Median)","Clicks: Same Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Total Count","Cart Adds: Cart Add Rate %","Cart Adds: Brand Count","Cart Adds: Brand Share %","Cart Adds: Price (Median)","Cart Adds: Brand Price (Median)","Cart Adds: Same Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Total Count","Purchases: Purchase Rate %","Purchases: Brand Count","Purchases: Brand Share %","Purchases: Price (Median)","Purchases: Brand Price (Median)","Purchases: Same Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"white shelves for wall","491","3121","74328","88","0.12","1315","42.13","0","0.0","24.98",,"226","577","227","361","11.57","0","0.0","23.99",,"59","167","59","66","2.11","0","0.0","22.19",,"17","38","8","2026-04-11"
"8 1/2 x 11 frame with mat 12 x 16","275","7","156","2","1.28","5","71.43","1","20.0","28.79","25.99","1","2","2","3","42.86","1","33.33","28.79","25.99","0","1","2","1","14.29","0","0.0","28.79",,"0","0","1","2026-04-11"
"12x12 wall shelf white","44","6","134","6","4.48","3","50.0","1","33.33","24.99","24.99","0","3","0","1","16.67","1","100.0","24.99","24.99","0","1","0","1","16.67","1","100.0","24.99","24.99","0","1","0","2026-04-11"
"19 l 8w floating book shelf","562","3","65","3","4.62","5","166.67","2","40.0","24.99","24.99","0","1","1","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-11"
"8x10 wooden picture frames","664","631","16332","21","0.13","305","48.34","1","0.33","18.99","18.99","21","179","74","95","15.06","0","0.0","16.99",,"7","56","21","38","6.02","0","0.0","13.99",,"4","27","6","2026-04-11"
"live edge floating shelves grey","647","23","507","23","4.54","15","65.22","1","6.67","85.95","94.99","0","1","7","1","4.35","0","0.0","62.99",,"0","0","1","0","0.0","0",,,,"0","0","0","2026-04-11"
"35inchx27inch picture frame","333","1","60","1","1.67","1","100.0","1","100.0","87.99","87.99","0","0","0","1","100.0","1","100.0","87.99","87.99","0","0","0","0","0.0","0",,,,"0","0","0","2026-04-11"
"frames 11x14","505","2823","78643","85","0.11","1088","38.54","0","0.0","15.99",,"192","610","166","379","13.43","0","0.0","9.99",,"94","194","43","157","5.56","0","0.0","8.99",,"53","82","8","2026-04-11"
"36 inch floating shelves set of 2","394","97","2531","27","1.07","54","55.67","3","5.56","49.99","112.99","0","14","3","5","5.15","0","0.0","53.99",,"0","3","0","0","0.0","0",,,,"0","0","0","2026-04-11"
"16x24 matted to 12 x 18 frame faux teak","193","9","199","12","6.03","5","55.56","1","20.0","39.99","45.99","0","0","4","2","22.22","1","50.0","45.99","45.99","0","0","2","1","11.11","0","0.0","55.59",,"0","0","1","2026-04-11"
"wooden picture frames 5x7","141","353","9614","54","0.56","149","42.21","1","0.67","17.99","16.99","12","72","36","55","15.58","1","1.82","17.99","16.99","7","26","14","21","5.95","0","0.0","14.99",,"2","11","5","2026-04-11"
"20x24 frame with mat","103","691","17868","33","0.18","326","47.18","2","0.61","37.99","45.99","5","84","129","118","17.08","2","1.69","37.59","45.99","1","35","51","43","6.22","0","0.0","28.99",,"1","15","17","2026-04-11"
"duvar raf","344","31","358","15","4.19","107","345.16","6","5.61","28.99","44.99","0","1","2","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-11"
"vintage frames","248","3941","100228","4","0.0","1167","29.61","1","0.09","21.99","45.99","81","572","293","383","9.72","1","0.26","19.99","45.99","33","202","88","29","0.74","0","0.0","16.99",,"2","21","6","2026-04-11"
"dark brown frame 5x7","280","2","66","2","3.03","1","50.0","1","100.0","16.99","16.99","0","0","0","1","50.0","1","100.0","16.99","16.99","0","0","0","0","0.0","0",,,,"0","0","0","2026-04-11"
"picture frames big","219","149","4045","6","0.15","47","31.54","1","2.13","32.99","45.99","3","11","11","15","10.07","1","6.67","37.99","45.99","2","3","4","0","0.0","0",,,,"0","0","0","2026-04-11"
"8.5 x 11 oak frame thin with border","251","4","86","4","4.65","2","50.0","1","50.0","21.99","21.99","0","1","1","2","50.0","1","50.0","21.99","21.99","0","1","1","0","0.0","0",,,,"0","0","0","2026-04-11"
