Brand=["KovaScape"],Reporting Range=["Weekly"],Select week=["Week 16 | 2026-04-12 - 2026-04-18 2026"]
"Search Query","Search Query Score","Search Query Volume","Impressions: Total Count","Impressions: Brand Count","Impressions: Brand Share %","Clicks: Total Count","Clicks: Click Rate %","Clicks: Brand Count","Clicks: Brand Share %","Clicks: Price (Median)","Clicks: Brand Price (Median)","Clicks: Same Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Total Count","Cart Adds: Cart Add Rate %","Cart Adds: Brand Count","Cart Adds: Brand Share %","Cart Adds: Price (Median)","Cart Adds: Brand Price (Median)","Cart Adds: Same Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Total Count","Purchases: Purchase Rate %","Purchases: Brand Count","Purchases: Brand Share %","Purchases: Price (Median)","Purchases: Brand Price (Median)","Purchases: Same Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"8-inch deep wall-mounted shelf","740","31","683","47","6.88","21","67.74","0","0.0","19.99",,"0","0","0","1","3.23","0","0.0","22.99",,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"long floating shelf","365","2045","51196","103","0.2","842","41.17","0","0.0","54.99",,"30","213","271","118","5.77","0","0.0","49.99",,"4","29","43","15","0.73","0","0.0","39.82",,"1","5","4","2026-04-18"
"rustic grey shelf","183","18","405","6","1.48","4","22.22","1","25.0","28.99","28.99","0","2","0","1","5.56","1","100.0","28.99","28.99","0","1","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"bathroom shelves","568","49312","1171329","19","0.0","18650","37.82","1","0.01","25.64","44.99","2899","7596","3330","4126","8.37","0","0.0","23.82",,"721","1717","720","707","1.43","0","0.0","20.99",,"186","343","99","2026-04-18"
"wood floating book shelves 36x8","159","3","180","9","5.0","4","133.33","1","25.0","64.99","112.99","0","3","0","1","33.33","1","100.0","112.99","112.99","0","1","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"12 inch wide wall shelves with rail","636","7","420","14","3.33","9","128.57","1","11.11","24.98","24.99","0","4","1","1","14.29","0","0.0","21.99",,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"24” rounded corners floating shelves","227","2","56","2","3.57","1","50.0","1","100.0","89.99","89.99","0","0","1","1","50.0","1","100.0","89.99","89.99","0","0","1","0","0.0","0",,,,"0","0","0","2026-04-18"
"floating shelves","19","131568","3286752","203","0.01","51443","39.1","3","0.01","23.99","24.99","8943","21397","9815","8352","6.35","1","0.01","22.39","26.99","1565","3443","1481","1637","1.24","1","0.06","20.99","26.99","456","753","256","2026-04-18"
"picture matting","560","379","11768","56","0.48","82","21.64","0","0.0","12.59",,"3","40","20","16","4.22","0","0.0","11.99",,"2","9","3","9","2.37","0","0.0","11.99",,"1","7","1","2026-04-18"
"12x17 frame","836","398","11863","7","0.06","188","47.24","1","0.53","8.99","25.99","8","103","44","80","20.1","0","0.0","8.99",,"5","50","15","40","10.05","0","0.0","8.99",,"3","25","7","2026-04-18"
"18 inch floating shelf live edge","795","10","240","9","3.75","7","70.0","1","14.29","76.99","94.99","0","4","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"11x14 picture frame wood antique","214","5","108","3","2.78","1","20.0","1","100.0","23.99","23.99","0","0","0","1","20.0","1","100.0","23.99","23.99","0","0","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"grey big wall shelves","788","5","111","9","8.11","5","100.0","1","20.0","21.99","27.99","0","3","1","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"16 x 20 frame with 11 x 14 mat","311","156","4359","36","0.83","92","58.97","3","3.26","34.79","45.99","1","29","34","13","8.33","0","0.0","26.99",,"0","11","1","5","3.21","0","0.0","23.99",,"0","5","0","2026-04-18"
"wall bookshelves","300","829","23822","84","0.35","276","33.29","2","0.72","27.99","24.99","25","114","53","59","7.12","0","0.0","25.99",,"6","25","9","3","0.36","0","0.0","29.97",,"0","1","1","2026-04-18"
"22x28 frame for canvas painting","435","14","503","7","1.39","9","64.29","2","22.22","67.49","64.99","0","0","5","2","14.29","0","0.0","67.49",,"0","0","2","0","0.0","0",,,,"0","0","0","2026-04-18"
"24x30 frame with mat","332","215","6907","125","1.81","92","42.79","0","0.0","46.99",,"0","24","36","26","12.09","0","0.0","46.99",,"0","9","10","6","2.79","0","0.0","49.99",,"0","4","1","2026-04-18"
"small utility shelf wall mount","866","52","1102","7","0.64","27","51.92","1","3.7","34.99","24.99","0","11","11","3","5.77","0","0.0","34.99",,"0","1","2","0","0.0","0",,,,"0","0","0","2026-04-18"
"photo frame 14x20 bronze","813","14","809","8","0.99","6","42.86","1","16.67","38.99","27.99","0","3","2","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"22x28 frame with mat","9","518","13633","239","1.75","228","44.02","4","1.75","39.99","64.99","0","52","88","63","12.16","3","4.76","47.24","64.99","0","20","25","14","2.7","1","7.14","30.99","64.99","0","7","3","2026-04-18"
"boho picture frames","490","1194","29513","29","0.1","409","34.25","1","0.24","18.99","17.99","18","199","98","171","14.32","0","0.0","17.99",,"9","86","34","12","1.01","0","0.0","18.99",,"0","10","1","2026-04-18"
"elm wood floating shelf view in room","970","3","67","5","7.46","3","100.0","1","33.33","94.99","131.99","0","3","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"wood holder on wall","200","7","194","4","2.06","3","42.86","1","33.33","29.99","27.99","1","1","1","1","14.29","1","100.0","27.99","27.99","1","0","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"shelf","99","106214","2809133","336","0.01","24840","23.39","3","0.01","38.36","44.99","2519","7181","4013","4755","4.48","0","0.0","37.79",,"557","1427","737","788","0.74","0","0.0","29.99",,"171","292","103","2026-04-18"
"wooden narrow shelf with live edge","587","6","120","18","15.0","3","50.0","1","33.33","79.99","131.99","0","1","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"24 x 36 poster frame","780","3841","112599","46","0.04","1471","38.3","0","0.0","39.99",,"3","422","453","624","16.25","0","0.0","39.99",,"0","174","194","247","6.43","0","0.0","39.49",,"0","73","86","2026-04-18"
"floating shelves, 8 inch deep rustic wood wall storage, 16w x 8d wall shelves set of 2, heavy duty metal brackets, industrial book shelf for living room, kitchen, bathroom, bedroom, brown","60","1","20","3","15.0","1","100.0","1","100.0","24.24","24.24","0","0","0","1","100.0","1","100.0","24.24","24.24","0","0","0","1","100.0","1","100.0","24.24","24.24","0","0","0","2026-04-18"
"8,5 x 11 frame","890","30","683","6","0.88","8","26.67","1","12.5","5.93","21.99","4","4","0","4","13.33","0","0.0","5.89",,"4","0","0","3","10.0","0","0.0","5.93",,"3","0","0","2026-04-18"
"big picture frames for wall","611","1022","24437","16","0.07","287","28.08","1","0.35","29.99","64.99","27","82","56","77","7.53","0","0.0","29.99",,"7","22","17","6","0.59","0","0.0","29.99",,"2","2","1","2026-04-18"
"floating shelves bedroom","182","333","8334","6","0.07","89","26.73","1","1.12","24.99","24.99","7","36","11","7","2.1","1","14.29","24.99","24.99","1","3","0","1","0.3","0","0.0","26.96",,"0","1","0","2026-04-18"
"框画","447","7","259","5","1.93","22","314.29","2","9.09","39.99","48.59","0","0","13","1","14.29","0","0.0","29.99",,"0","0","1","0","0.0","0",,,,"0","0","0","2026-04-18"
