Brand=["KovaScape"],Reporting Range=["Weekly"],Select week=["Week 16 | 2026-04-12 - 2026-04-18 2026"]
"Search Query","Search Query Score","Search Query Volume","Impressions: Total Count","Impressions: Brand Count","Impressions: Brand Share %","Clicks: Total Count","Clicks: Click Rate %","Clicks: Brand Count","Clicks: Brand Share %","Clicks: Price (Median)","Clicks: Brand Price (Median)","Clicks: Same Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Total Count","Cart Adds: Cart Add Rate %","Cart Adds: Brand Count","Cart Adds: Brand Share %","Cart Adds: Price (Median)","Cart Adds: Brand Price (Median)","Cart Adds: Same Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Total Count","Purchases: Purchase Rate %","Purchases: Brand Count","Purchases: Brand Share %","Purchases: Price (Median)","Purchases: Brand Price (Median)","Purchases: Same Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"bathroom wall storage","923","3682","92777","43","0.05","1396","37.91","0","0.0","27.82",,"159","540","320","299","8.12","0","0.0","24.99",,"38","120","72","34","0.92","0","0.0","19.98",,"5","18","6","2026-04-18"
"black wall shelf for pc","340","8","170","8","4.71","4","50.0","3","75.0","26.99","26.99","0","1","3","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"80 inch long live edge wood shelves","679","4","240","12","5.0","7","175.0","1","14.29","131.99","131.99","0","5","1","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"wood frames 4x6","557","124","3320","19","0.57","49","39.52","1","2.04","17.79","17.99","6","31","5","13","10.48","0","0.0","15.98",,"1","7","2","2","1.61","0","0.0","13.99",,"0","1","0","2026-04-18"
"wall wood shelf for coffee bar 16x6","718","11","199","11","5.53","7","63.64","1","14.29","24.98","24.99","0","0","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"25cm deep shelf","988","5","90","5","5.56","5","100.0","1","20.0","28.37","24.99","0","4","1","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"8x11 picture frame wood with glass matted","981","5","100","5","5.0","5","100.0","1","20.0","25.99","25.99","0","3","2","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"11x14 picture frame with stand","29","430","11976","29","0.24","221","51.4","1","0.45","9.99","25.99","30","143","27","43","10.0","1","2.33","13.49","25.99","4","27","8","21","4.88","1","4.76","13.49","25.99","2","13","5","2026-04-18"
"8x10 rounded edge wood hanging frame","689","6","126","12","9.52","4","66.67","1","25.0","18.99","17.99","0","0","3","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"heavy duty wall shelves","597","477","13318","54","0.41","171","35.85","0","0.0","50.99",,"8","42","48","27","5.66","0","0.0","86.99",,"3","4","8","6","1.26","0","0.0","50.99",,"1","1","0","2026-04-18"
"real glass frame wall","893","5","103","6","5.83","3","60.0","1","33.33","23.39","20.99","0","0","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"heavy duty wall mounted shelf","562","64","1469","19","1.29","15","23.44","1","6.67","59.99","24.99","0","5","7","2","3.13","0","0.0","19.98",,"0","0","2","1","1.56","0","0.0","59.99",,"0","0","1","2026-04-18"
"photo frames for wall","506","3737","92031","63","0.07","1095","29.3","0","0.0","22.99",,"152","466","185","290","7.76","0","0.0","20.99",,"48","119","48","47","1.26","0","0.0","21.63",,"11","27","5","2026-04-18"
"heavy duty floating shelves","287","1116","29028","144","0.5","460","41.22","1","0.22","49.99","63.99","57","169","120","40","3.58","0","0.0","44.97",,"5","13","16","2","0.18","0","0.0","44.97",,"0","0","2","2026-04-18"
"industrial shelf for wall","723","90","2487","11","0.44","36","40.0","1","2.78","49.99","24.99","0","12","11","9","10.0","0","0.0","49.99",,"0","5","3","3","3.33","0","0.0","35.99",,"0","2","0","2026-04-18"
"nickle 12x16 frame","742","10","200","10","5.0","6","60.0","1","16.67","28.91","26.99","0","0","3","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"amazon.co.jp","369","2136","39084","100","0.26","42","1.97","0","0.0","19.99",,"0","6","1","4","0.19","0","0.0","40.84",,"0","1","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"bedroom floating shelves","818","172","4382","8","0.18","56","32.56","1","1.79","23.99","51.99","9","25","11","16","9.3","0","0.0","21.99",,"2","6","5","1","0.58","0","0.0","9.99",,"0","1","0","2026-04-18"
"photo frame","91","12233","330267","430","0.13","3203","26.18","3","0.09","13.86","16.99","494","1344","462","834","6.82","0","0.0","12.99",,"153","380","143","226","1.85","0","0.0","8.99",,"46","126","36","2026-04-18"
"wall mount shelf","107","2174","62983","94","0.15","679","31.23","1","0.15","20.99","24.99","78","278","155","105","4.83","1","0.95","19.99","24.99","14","33","25","27","1.24","0","0.0","22.99",,"6","7","6","2026-04-18"
"4x6 wall frame","142","196","4939","15","0.3","93","47.45","1","1.08","9.99","13.99","5","50","16","23","11.73","1","4.35","9.98","13.99","2","13","1","9","4.59","0","0.0","9.98",,"2","6","0","2026-04-18"
"live edge shelves floating","315","83","1986","67","3.37","43","51.81","2","4.65","69.99","94.99","0","13","10","2","2.41","0","0.0","89.99",,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"shelving wall mounted","308","2473","66569","151","0.23","828","33.48","0","0.0","28.49",,"107","339","168","115","4.65","0","0.0","26.98",,"9","50","29","14","0.57","0","0.0","22.99",,"0","7","7","2026-04-18"
"20x24 frame with mat gold","999","24","492","5","1.02","20","83.33","1","5.0","46.99","49.99","0","8","4","7","29.17","0","0.0","45.89",,"0","3","0","1","4.17","0","0.0","62.9",,"0","1","0","2026-04-18"
"8.5 x 11 frame with mat","518","120","4951","24","0.48","59","49.17","1","1.69","15.98","21.99","5","37","10","15","12.5","0","0.0","9.99",,"3","9","2","6","5.0","0","0.0","9.99",,"2","4","0","2026-04-18"
"shelves for room wall","111","19943","470047","282","0.06","6709","33.64","2","0.03","24.98","24.99","1012","2802","1182","1539","7.72","0","0.0","22.99",,"229","648","254","246","1.23","0","0.0","20.99",,"68","112","28","2026-04-18"
"thick wood shelves for bathroom","599","39","801","17","2.12","13","33.33","1","7.69","27.82","24.99","3","10","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"18w x 8d wall shelf","649","6","162","13","8.02","6","100.0","1","16.67","19.99","24.99","0","0","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"wood picture frame tabletop","508","9","191","25","13.09","7","77.78","1","14.29","15.99","13.99","0","1","5","1","11.11","0","0.0","9.99",,"0","0","1","0","0.0","0",,,,"0","0","0","2026-04-18"
"small book shelf","275","4388","116193","232","0.2","1492","34.0","0","0.0","32.99",,"65","540","365","261","5.95","0","0.0","29.99",,"17","103","64","43","0.98","0","0.0","27.99",,"5","24","7","2026-04-18"
"deep shelf for wall","505","118","2756","26","0.94","48","40.68","1","2.08","29.99","24.99","5","18","14","10","8.47","0","0.0","29.99",,"4","3","0","2","1.69","0","0.0","16.82",,"1","1","0","2026-04-18"
"16x24 mat opening frame","728","30","938","10","1.07","17","56.67","1","5.88","32.99","45.99","0","0","9","3","10.0","0","0.0","34.99",,"0","0","3","0","0.0","0",,,,"0","0","0","2026-04-18"
"8x16 frame","863","372","11539","7","0.06","141","37.9","1","0.71","8.99","26.99","3","64","32","51","13.71","0","0.0","8.59",,"3","30","10","29","7.8","0","0.0","7.99",,"2","18","7","2026-04-18"
"live edge floating shelves","5","2609","67337","2152","3.2","1136","43.54","14","1.23","89.99","94.99","20","276","354","125","4.79","0","0.0","79.99",,"3","35","36","17","0.65","0","0.0","63.99",,"0","5","5","2026-04-18"
"raw wood shelves","521","65","1806","23","1.27","20","30.77","1","5.0","68.99","114.99","0","10","6","4","6.15","0","0.0","45.99",,"0","2","2","0","0.0","0",,,,"0","0","0","2026-04-18"
"rustic wall shelves with live edge","453","22","490","40","8.16","23","104.55","1","4.35","101.69","131.99","0","0","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"6 x 8 picture frame horizontal","166","37","1045","8","0.77","27","72.97","1","3.7","9.88","18.99","0","11","12","6","16.22","1","16.67","9.25","18.99","0","1","5","2","5.41","0","0.0","7.99",,"0","0","2","2026-04-18"
"picture frame 8.5 x 11","317","513","15524","100","0.64","227","44.25","1","0.44","6.64","21.99","28","130","41","107","20.86","0","0.0","6.09",,"15","61","22","63","12.28","0","0.0","6.09",,"10","39","10","2026-04-18"
"tablillas flotantes para pared","796","1091","22778","8","0.04","360","33.0","1","0.28","21.99","26.99","21","61","15","49","4.49","0","0.0","21.99",,"4","14","1","9","0.82","0","0.0","19.99",,"2","2","1","2026-04-18"
"floating wood shelf","607","623","18171","53","0.29","215","34.51","0","0.0","39.99",,"23","89","51","39","6.26","0","0.0","29.99",,"5","17","11","7","1.12","0","0.0","24.99",,"2","3","2","2026-04-18"
"16 x 20 frame with mat","132","270","9395","22","0.23","102","37.78","1","0.98","26.99","45.99","12","17","41","29","10.74","1","3.45","29.35","45.99","3","5","11","11","4.07","0","0.0","29.35",,"0","3","4","2026-04-18"
"long shallow wall shelf live edge","933","2","44","6","13.64","1","50.0","1","100.0","114.99","114.99","0","0","1","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"live edge floating shelf 30 inch just one","973","6","132","5","3.79","5","83.33","1","20.0","91.99","94.99","0","0","5","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"24x36 frame with mat","354","497","13957","70","0.5","179","36.02","1","0.56","49.99","83.99","0","36","69","65","13.08","0","0.0","49.99",,"0","16","22","25","5.03","0","0.0","39.99",,"0","7","9","2026-04-18"
"big wood art photo frames for wall","989","4","83","5","6.02","1","25.0","1","100.0","81.99","81.99","0","0","1","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"36x24 picture frame","639","1747","42818","14","0.03","684","39.15","1","0.15","39.99","26.99","5","141","211","267","15.28","0","0.0","36.99",,"0","59","87","95","5.44","0","0.0","36.99",,"0","30","30","2026-04-18"
"wall & tabletop picture frames","363","4219","112558","104","0.09","173","4.1","0","0.0","20.99",,"17","71","30","41","0.97","0","0.0","24.95",,"3","19","6","13","0.31","0","0.0","21.99",,"1","7","4","2026-04-18"
"bathroom water proof storage wood shelves","579","5","110","18","16.36","1","20.0","1","100.0","112.99","112.99","0","0","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"5x7 picture frame glass","790","153","4217","9","0.21","69","45.1","1","1.45","7.99","17.99","16","43","9","23","15.03","0","0.0","6.49",,"1","18","3","14","9.15","0","0.0","6.49",,"0","11","2","2026-04-18"
"live edge shelving with brackets","773","10","211","9","4.27","7","70.0","1","14.29","94.99","94.99","0","1","3","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"gold 24x36","939","10","202","6","2.97","8","80.0","1","12.5","51.99","81.99","0","1","5","5","50.0","0","0.0","49.99",,"0","0","4","1","10.0","0","0.0","41.39",,"0","0","1","2026-04-18"
"36” floating walnut color shelf","819","8","176","8","4.55","7","87.5","1","14.29","79.99","114.99","0","2","4","1","12.5","0","0.0","42.99",,"0","0","1","0","0.0","0",,,,"0","0","0","2026-04-18"
"wall-mounted shelf heavy duty kitchen","401","20","411","50","12.17","4","20.0","1","25.0","80.99","63.99","0","1","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"8x10 picture frame cream color","49","19","382","4","1.05","7","36.84","1","14.29","18.89","17.99","0","3","2","3","15.79","1","33.33","18.89","17.99","0","0","1","1","5.26","1","100.0","17.99","17.99","0","0","1","2026-04-18"
"heavy duty floating shelf","801","344","10203","45","0.44","100","29.07","0","0.0","44.99",,"12","35","32","6","1.74","0","0.0","20.99",,"1","3","1","1","0.29","0","0.0","87.3",,"0","0","1","2026-04-18"
"8 inch deep small shelf","28","2","43","4","9.3","2","100.0","2","100.0","24.99","24.99","0","0","2","1","50.0","1","100.0","24.99","24.99","0","0","1","1","50.0","1","100.0","24.99","24.99","0","0","1","2026-04-18"
"boy room shelf","78","10","199","1","0.5","8","80.0","1","12.5","23.99","48.99","0","6","0","3","30.0","1","33.33","48.99","48.99","0","1","0","2","20.0","1","50.0","15.29","44.09","0","1","0","2026-04-18"
"walnut frame 11x14","173","36","987","6","0.61","20","55.56","1","5.0","26.99","27.99","2","15","1","11","30.56","1","9.09","27.99","27.99","2","7","1","3","8.33","0","0.0","26.99",,"1","2","0","2026-04-18"
"12x16 walnut frame with real glass","389","10","281","18","6.41","7","70.0","2","28.57","29.99","28.99","0","1","4","2","20.0","0","0.0","27.89",,"0","1","1","0","0.0","0",,,,"0","0","0","2026-04-18"
"vertical column wall deep shelves","416","10","200","10","5.0","7","70.0","2","28.57","29.99","26.99","0","0","6","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"8.5 by 11 pictue framw with stand","121","5","105","5","4.76","3","60.0","2","66.67","21.99","21.99","0","1","0","1","20.0","1","100.0","21.99","21.99","0","0","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"hanging shelves","499","8691","222305","64","0.03","2873","33.06","0","0.0","20.99",,"416","1219","578","651","7.49","0","0.0","20.99",,"89","280","132","87","1.0","0","0.0","19.99",,"16","48","14","2026-04-18"
"wood floating shelf","95","922","24364","130","0.53","370","40.13","3","0.81","29.99","131.99","37","143","112","46","4.99","1","2.17","25.99","131.99","4","11","19","9","0.98","0","0.0","16.99",,"2","1","2","2026-04-18"
"8 inch depth floating shelf","618","12","269","15","5.58","4","33.33","1","25.0","37.99","41.99","1","3","0","1","8.33","0","0.0","21.84",,"0","1","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"wall mounted shelves","86","6535","175951","202","0.11","1838","28.13","7","0.38","28.99","24.99","289","703","339","244","3.73","1","0.41","26.96","24.99","42","85","37","43","0.66","0","0.0","21.99",,"16","16","2","2026-04-18"
"floating 12 inches deep white","61","3","66","3","4.55","2","66.67","1","50.0","22.99","24.99","0","0","0","1","33.33","1","100.0","24.99","24.99","0","0","0","1","33.33","1","100.0","24.99","24.99","0","0","0","2026-04-18"
"homeforia picture frame 11x14 with mat","826","28","1590","8","0.5","18","64.29","1","5.56","21.99","20.99","0","3","10","5","17.86","0","0.0","19.99",,"0","1","1","0","0.0","0",,,,"0","0","0","2026-04-18"
"live edge floating shelves 24 inch by 10 inch depth","779","3","180","9","5.0","11","366.67","1","9.09","93.99","94.99","0","0","6","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"wall mounted shelves 12 inches deep","580","14","349","18","5.16","8","57.14","1","12.5","24.99","24.99","0","6","0","2","14.29","0","0.0","23.95",,"0","1","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"wood floating shelves for wall","519","300","7977","61","0.76","100","33.33","0","0.0","27.99",,"6","44","23","18","6.0","0","0.0","29.99",,"0","11","3","1","0.33","0","0.0","36.99",,"0","1","0","2026-04-18"
"24x24 picture frame wood","662","26","1046","13","1.24","5","19.23","1","20.0","69.99","73.99","0","0","4","1","3.85","0","0.0","69.99",,"0","0","1","0","0.0","0",,,,"0","0","0","2026-04-18"
"8 inch wide wall bookshelves","400","6","340","14","4.12","3","50.0","2","66.67","24.99","24.99","0","3","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"deep floating shelves for wall","539","433","11272","58","0.51","181","41.8","0","0.0","36.97",,"24","70","62","17","3.93","0","0.0","35.99",,"0","10","5","3","0.69","0","0.0","25.99",,"0","2","1","2026-04-18"
"linen closet shelves","670","804","20966","12","0.06","301","37.44","1","0.33","39.99","60.99","41","82","61","48","5.97","0","0.0","35.99",,"9","14","5","6","0.75","0","0.0","33.99",,"3","3","0","2026-04-18"
"5x7 frame with mat","321","782","21572","134","0.62","343","43.86","0","0.0","13.99",,"56","190","68","113","14.45","0","0.0","9.99",,"23","61","21","44","5.63","0","0.0","8.99",,"10","26","8","2026-04-18"
"60 inch live edge floating shelves","538","14","382","21","5.5","8","57.14","1","12.5","152.99","109.6","0","0","4","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"8x10 brown rounded frame","254","2","43","1","2.33","2","100.0","1","50.0","17.99","17.99","0","2","0","2","100.0","1","50.0","17.99","17.99","0","2","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"floating shelves kovascape","385","3","66","21","31.82","3","100.0","2","66.67","94.99","94.99","1","2","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"8x10 teak frame","967","12","502","5","1.0","6","50.0","1","16.67","18.99","18.99","0","2","3","2","16.67","0","0.0","22.99",,"0","1","1","2","16.67","0","0.0","22.99",,"0","1","1","2026-04-18"
"5x7 wall frame","669","361","9959","12","0.12","147","40.72","1","0.68","13.49","17.99","18","88","30","46","12.74","0","0.0","8.99",,"8","27","9","15","4.16","0","0.0","7.99",,"3","11","1","2026-04-18"
"frame with mat for 24x36 print","595","32","772","17","2.2","13","40.63","1","7.69","57.99","81.99","0","1","3","2","6.25","0","0.0","49.99",,"0","0","2","0","0.0","0",,,,"0","0","0","2026-04-18"
"27 x40 matted frame","540","23","485","21","4.33","21","91.3","1","4.76","89.99",,"0","0","10","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"8x10 picture frame","1","61953","1581845","1227","0.08","25649","41.4","15","0.06","11.99","17.99","4718","13774","4111","12214","19.71","4","0.03","9.99","17.99","2652","6587","1788","5446","8.79","3","0.06","7.99","17.99","1353","3063","698","2026-04-18"
"wide shelves for wall","603","159","3912","16","0.41","57","35.85","1","1.75","27.99","24.99","5","30","10","9","5.66","0","0.0","30.99",,"2","6","0","1","0.63","0","0.0","26.96",,"1","0","0","2026-04-18"
"wood shelf for bath","161","5","109","9","8.26","3","60.0","1","33.33","31.99","112.99","0","0","1","1","20.0","1","100.0","112.99","112.99","0","0","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"24x36 frame","14","8810","245475","151","0.06","2941","33.38","3","0.1","44.99","76.99","12","674","918","908","10.31","2","0.22","42.99","76.99","0","237","285","284","3.22","1","0.35","42.74","83.99","0","94","102","2026-04-18"
"floating shelf brackets and hardware","783","848","20864","9","0.04","333","39.27","1","0.3","20.99","24.99","50","120","61","48","5.66","0","0.0","15.98",,"15","18","5","7","0.83","0","0.0","14.76",,"4","2","0","2026-04-18"
"18x24 rounded corners","571","10","221","18","8.14","8","80.0","1","12.5","56.99","49.99","0","0","8","1","10.0","0","0.0","44.99",,"0","0","1","0","0.0","0",,,,"0","0","0","2026-04-18"
"navy wide wall shelves","979","5","110","5","4.55","4","80.0","1","25.0","53.99","51.99","0","2","2","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-18"
"wall picture frames","575","2225","64722","18","0.03","635","28.54","1","0.16","23.99","81.99","80","282","137","141","6.34","0","0.0","22.99",,"28","65","20","26","1.17","0","0.0","19.99",,"4","15","6","2026-04-18"
"floating bookshelf","576","3990","96910","55","0.06","1560","39.1","0","0.0","27.97",,"149","709","324","338","8.47","0","0.0","25.87",,"36","142","76","55","1.38","0","0.0","19.99",,"13","26","14","2026-04-18"
"light wood floating shelves","526","511","13447","60","0.45","229","44.81","0","0.0","29.99",,"6","120","52","50","9.78","0","0.0","28.99",,"0","27","11","11","2.15","0","0.0","27.89",,"0","6","2","2026-04-18"
"4x6 picture frame","277","34463","887183","188","0.02","11749","34.09","1","0.01","10.17","13.99","1522","6500","2204","5527","16.04","0","0.0","9.99",,"829","3087","964","2350","6.82","0","0.0","9.98",,"433","1414","318","2026-04-18"
"wide floating shelves 8 inch depth","520","9","199","24","12.06","8","88.89","1","12.5","24.99","24.99","0","0","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-18"
