Brand=["KovaScape"],Reporting Range=["Weekly"],Select week=["Week 14 | 2026-03-29 - 2026-04-04 2026"]
"Search Query","Search Query Score","Search Query Volume","Impressions: Total Count","Impressions: Brand Count","Impressions: Brand Share %","Clicks: Total Count","Clicks: Click Rate %","Clicks: Brand Count","Clicks: Brand Share %","Clicks: Price (Median)","Clicks: Brand Price (Median)","Clicks: Same Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Total Count","Cart Adds: Cart Add Rate %","Cart Adds: Brand Count","Cart Adds: Brand Share %","Cart Adds: Price (Median)","Cart Adds: Brand Price (Median)","Cart Adds: Same Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Total Count","Purchases: Purchase Rate %","Purchases: Brand Count","Purchases: Brand Share %","Purchases: Price (Median)","Purchases: Brand Price (Median)","Purchases: Same Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"wall small book shelf","843","2","43","5","11.63","3","150.0","1","33.33","27.1","25.99","0","0","0","1","50.0","0","0.0","28.97",,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"27 x 40 wood frame for heavy picture hard back cover","591","8","443","12","2.71","13","162.5","1","7.69","72.4","87.99","0","0","5","1","12.5","0","0.0","47.99",,"0","0","0","1","12.5","0","0.0","47.99",,"0","0","0","2026-04-04"
"floating shelves with black metal brackets set","701","11","222","8","3.6","8","72.73","1","12.5","39.99","48.99","1","4","2","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"4 1/4 x 6 post card frame","945","2","120","4","3.33","1","50.0","1","100.0","14.99","14.99","0","1","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"frame 24x36","766","860","23918","44","0.18","353","41.05","0","0.0","39.99",,"0","62","114","133","15.47","0","0.0","36.95",,"0","26","43","39","4.53","0","0.0","36.99",,"0","10","13","2026-04-04"
"wall shelf no screws","473","111","2710","22","0.81","46","41.44","1","2.17","14.89","26.99","6","17","16","7","6.31","0","0.0","14.49",,"1","3","3","0","0.0","0",,,,"0","0","0","2026-04-04"
"wood shelves for wall","366","3531","85122","50","0.06","1283","36.34","1","0.08","28.99","89.99","177","419","351","211","5.98","0","0.0","26.99",,"33","69","55","29","0.82","0","0.0","26.99",,"11","9","5","2026-04-04"
"48 inch shelf for wall","595","92","2451","12","0.49","32","34.78","1","3.13","57.99","48.99","0","4","13","3","3.26","0","0.0","39.99",,"0","0","0","1","1.09","0","0.0","39.99",,"0","0","0","2026-04-04"
"floating wood shelf","721","604","16788","44","0.26","233","38.58","0","0.0","42.97",,"15","69","68","31","5.13","0","0.0","31.99",,"3","8","10","8","1.32","0","0.0","29.99",,"1","3","2","2026-04-04"
"vintage black floating shelf with live edge","187","4","88","4","4.55","3","75.0","1","33.33","85.95","94.99","0","0","2","2","50.0","1","50.0","85.95","94.99","0","0","1","0","0.0","0",,,,"0","0","0","2026-04-04"
"no stud shelf","847","23","546","5","0.92","20","86.96","1","5.0","21.84","24.99","0","5","4","1","4.35","0","0.0","38.6",,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"36 inch floating shelf","278","474","13706","168","1.23","229","48.31","1","0.44","48.99","114.99","3","48","111","29","6.12","0","0.0","47.99",,"0","5","17","9","1.9","0","0.0","45.47",,"0","1","5","2026-04-04"
"8x10 picture frames tempured glass","811","3","66","6","9.09","1","33.33","1","100.0","20.99","20.99","0","1","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"antique wood frame","643","18","571","10","1.75","7","38.89","1","14.29","20.99","20.99","0","3","2","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"small black shelving with brackets","178","5","130","5","3.85","4","80.0","1","25.0","22.99","24.99","0","3","1","2","40.0","1","50.0","22.99","24.99","0","2","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"22x28 frame","92","1699","47684","220","0.46","716","42.14","4","0.56","34.99","64.99","5","156","255","202","11.89","0","0.0","30.95",,"3","64","81","74","4.36","0","0.0","30.95",,"2","28","31","2026-04-04"
"6 x 8 frame","484","378","13040","20","0.15","132","34.92","1","0.76","9.99","16.99","10","61","42","59","15.61","0","0.0","8.09",,"7","27","19","33","8.73","0","0.0","8.99",,"3","21","7","2026-04-04"
"16x 24 wooden frame","40","3","67","5","7.46","2","66.67","1","50.0","45.99","45.99","0","1","0","2","66.67","1","50.0","45.99","45.99","0","1","0","1","33.33","1","100.0","45.99","45.99","0","1","0","2026-04-04"
"36” live edge wall shelving walnut","635","5","110","10","9.09","4","80.0","1","25.0","74.99","113.99","0","0","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"frame glass for poster 24""x36""","782","10","222","6","2.7","6","60.0","1","16.67","80.99","81.99","0","0","4","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"live edge bathroom shelf wall mount","492","20","422","19","4.5","14","70.0","1","7.14","89.99","114.99","0","4","6","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"picture frame wood with mat","224","1","60","2","3.33","1","100.0","1","100.0","17.99","17.99","0","1","0","1","100.0","1","100.0","17.99","17.99","0","1","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"40 by 125 frame with matte","911","2","120","4","3.33","1","50.0","1","100.0","87.99","87.99","0","0","1","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"art frame","548","501","15194","15","0.1","127","25.35","1","0.79","21.99","24.99","18","47","20","23","4.59","0","0.0","21.74",,"5","12","1","7","1.4","0","0.0","21.99",,"2","4","0","2026-04-04"
"dark oak frame","217","8","149","2","1.34","2","25.0","1","50.0","24.99","24.99","0","1","1","1","12.5","1","100.0","24.99","24.99","0","1","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"walnut frame+fits+18+x+24","881","5","105","5","4.76","3","60.0","1","33.33","58.79","53.99","0","0","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"frame with glass front","835","23","522","6","1.15","11","47.83","1","9.09","14.99","14.99","2","4","4","3","13.04","0","0.0","16.99",,"1","2","0","1","4.35","0","0.0","24.99",,"0","1","0","2026-04-04"
"light wood 8x10 wall frame","241","6","168","1","0.6","2","33.33","1","50.0","7.99","18.99","1","1","0","2","33.33","1","50.0","7.99","18.99","1","1","0","0","0.0","0",,,,"0","0","0","2026-04-04"
