Brand=["KovaScape"],Reporting Range=["Weekly"],Select week=["Week 14 | 2026-03-29 - 2026-04-04 2026"]
"Search Query","Search Query Score","Search Query Volume","Impressions: Total Count","Impressions: Brand Count","Impressions: Brand Share %","Clicks: Total Count","Clicks: Click Rate %","Clicks: Brand Count","Clicks: Brand Share %","Clicks: Price (Median)","Clicks: Brand Price (Median)","Clicks: Same Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Total Count","Cart Adds: Cart Add Rate %","Cart Adds: Brand Count","Cart Adds: Brand Share %","Cart Adds: Price (Median)","Cart Adds: Brand Price (Median)","Cart Adds: Same Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Total Count","Purchases: Purchase Rate %","Purchases: Brand Count","Purchases: Brand Share %","Purchases: Price (Median)","Purchases: Brand Price (Median)","Purchases: Same Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"16x22 frame","486","512","15229","20","0.13","209","40.82","1","0.48","23.99","45.99","4","56","69","74","14.45","0","0.0","22.99",,"2","31","23","30","5.86","0","0.0","22.99",,"1","18","7","2026-04-04"
"floating shelves 36 wide and 10 inches deep","668","20","660","9","1.36","11","55.0","1","9.09","98.59","109.99","0","0","6","2","10.0","0","0.0","36.9",,"0","0","1","0","0.0","0",,,,"0","0","0","2026-04-04"
"picure frames wqll wooden","608","4","84","12","14.29","4","100.0","1","25.0","33.99","38.99","0","1","3","1","25.0","0","0.0","9.99",,"0","1","0","1","25.0","0","0.0","9.99",,"0","1","0","2026-04-04"
"30x40 picture frame","83","1842","46431","161","0.35","718","38.98","2","0.28","58.68","81.99","22","189","171","203","11.02","1","0.49","53.99","87.99","7","59","51","56","3.04","0","0.0","49.99",,"3","17","18","2026-04-04"
"closet floating shelves 24x8","35","8","178","7","3.93","6","75.0","1","16.67","44.99","44.99","0","2","4","2","25.0","1","50.0","44.99","44.99","0","0","2","1","12.5","1","100.0","44.99","44.99","0","0","1","2026-04-04"
"24 x 32 picture frame","883","224","5656","5","0.09","106","47.32","1","0.94","42.99","73.99","0","20","42","46","20.54","0","0.0","40.99",,"0","10","15","18","8.04","0","0.0","40.99",,"0","8","5","2026-04-04"
"27 x 40 frame wood with matte","53","2","44","2","4.55","2","100.0","1","50.0","96.99","96.99","0","0","1","1","50.0","1","100.0","96.99","96.99","0","0","0","1","50.0","1","100.0","96.99","96.99","0","0","0","2026-04-04"
"picture frames 8.5 x 11","274","3587","112580","115","0.1","1434","39.98","3","0.21","12.99","18.99","211","681","291","664","18.51","0","0.0","9.99",,"124","332","120","407","11.35","0","0.0","8.49",,"85","214","63","2026-04-04"
"8” wide black wall shelf","672","3","78","9","11.54","2","66.67","1","50.0","36.97","44.99","0","0","1","1","33.33","0","0.0","36.97",,"0","0","1","1","33.33","0","0.0","36.97",,"0","0","1","2026-04-04"
"large matted frame","534","104","3020","16","0.53","31","29.81","1","3.23","33.99","45.99","2","13","3","7","6.73","0","0.0","34.59",,"1","5","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"24 x 36 walnut frame","119","44","1348","37","2.74","20","45.45","1","5.0","54.99","83.99","0","1","4","2","4.55","1","50.0","54.99","83.99","0","0","0","1","2.27","0","0.0","54.99",,"0","0","0","2026-04-04"
"live edge light wood floating shelves","173","6","132","6","4.55","3","50.0","1","33.33","114.99","114.99","0","1","2","1","16.67","1","100.0","114.99","114.99","0","0","1","0","0.0","0",,,,"0","0","0","2026-04-04"
"8.5 by 11 picture frame","291","8982","222581","127","0.06","3928","43.73","1","0.03","7.98","21.99","823","1900","736","2002","22.29","0","0.0","5.99",,"497","995","328","1124","12.51","0","0.0","5.89",,"313","568","163","2026-04-04"
"natural wood live edge shelves","869","8","168","5","2.98","5","62.5","1","20.0","80.74","94.99","0","2","2","1","12.5","0","0.0","44.99",,"0","1","0","1","12.5","0","0.0","44.99",,"0","1","0","2026-04-04"
"24x32 frame matted to 20x28","875","16","543","5","0.92","15","93.75","1","6.67","65.79","73.99","0","1","7","4","25.0","0","0.0","49.99",,"0","0","2","2","12.5","0","0.0","65.79",,"0","0","1","2026-04-04"
"large canvas frame","213","63","1537","2","0.13","26","41.27","1","3.85","50.48","96.99","0","4","8","5","7.94","1","20.0","66.89","96.99","0","1","1","1","1.59","0","0.0","97.99",,"0","0","0","2026-04-04"
"walnut floating kitchen shelves 36 inch live edge","902","4","89","4","4.49","3","75.0","1","33.33","114.99","114.99","0","0","3","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"12 inch display shelves that hang easily","991","4","92","4","4.35","1","25.0","1","100.0","26.99","26.99","0","0","1","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"picture frame 24x36","29","486","13213","12","0.09","166","34.16","1","0.6","39.99","76.99","0","31","59","70","14.4","1","1.43","36.95","76.99","0","15","25","31","6.38","1","3.23","36.99","76.99","0","11","12","2026-04-04"
"8x10 frane","208","58","1369","3","0.22","18","31.03","1","5.56","5.69","20.99","5","6","4","8","13.79","1","12.5","7.99","20.99","2","2","2","2","3.45","0","0.0","5.09",,"1","1","0","2026-04-04"
"adhesive wall shelf","356","1294","30841","19","0.06","596","46.06","2","0.34","14.99","27.99","77","282","144","98","7.57","0","0.0","14.99",,"18","50","20","27","2.09","0","0.0","13.49",,"5","15","7","2026-04-04"
"solid wood frame with real glass","611","12","455","12","2.64","9","75.0","1","11.11","29.75","49.99","0","4","2","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"22x28 frame with mat for 18x24 white wood tempered glass","616","11","243","11","4.53","8","72.73","1","12.5","57.99","64.99","0","0","1","1","9.09","0","0.0","71.99",,"0","0","0","1","9.09","0","0.0","71.99",,"0","0","0","2026-04-04"
"floating shelves with live edge","88","27","576","16","2.78","21","77.78","3","14.29","99.99","113.99","0","1","9","3","11.11","1","33.33","45.98","114.99","0","0","3","0","0.0","0",,,,"0","0","0","2026-04-04"
"12 inch shelf","95","567","14569","33","0.23","241","42.5","2","0.83","23.74","26.99","18","106","60","36","6.35","1","2.78","19.99","26.99","3","19","8","11","1.94","0","0.0","19.94",,"1","5","2","2026-04-04"
"11 in x 14 floating frame","223","3","170","2","1.18","1","33.33","1","100.0","24.99","24.99","0","1","0","1","33.33","1","100.0","24.99","24.99","0","1","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"14x18 oak frame","890","7","166","5","3.01","3","42.86","1","33.33","43.99","45.99","0","0","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"12 inch deep wall shelf","22","40","1173","38","3.24","18","45.0","1","5.56","29.99","26.99","0","13","1","3","7.5","1","33.33","19.99","26.99","0","3","0","1","2.5","1","100.0","26.99","26.99","0","1","0","2026-04-04"
"live edge shelf 48","892","5","108","5","4.63","2","40.0","1","50.0","76.49","102.99","0","0","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"matted frame for 8x10 picture","142","485","12995","11","0.08","193","39.79","1","0.52","16.99","22.99","24","89","52","72","14.85","1","1.39","14.99","22.99","13","33","19","26","5.36","0","0.0","7.99",,"6","14","5","2026-04-04"
"24 x 30 frame with a 18 x 24 mat￼","865","15","332","5","1.51","10","66.67","1","10.0","45.99","73.99","0","0","7","1","6.67","0","0.0","29.45",,"0","0","1","0","0.0","0",,,,"0","0","0","2026-04-04"
"marsmiles 36 inch floating shelves for... size: flat edge, 36""l, 2packs color: natural","829","2","44","6","13.64","1","50.0","1","100.0","114.99","114.99","0","0","1","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"12x16 frame with mat natural","144","5","110","10","9.09","4","80.0","1","25.0","27.99","25.99","0","0","3","1","20.0","1","100.0","25.99","25.99","0","0","1","0","0.0","0",,,,"0","0","0","2026-04-04"
"2027 photo frame magnet","876","5","108","5","4.63","4","80.0","1","25.0","28.83","53.99","0","3","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"5x7 picture frame","4","39277","1001466","59","0.01","16048","40.86","2","0.01","9.99","16.99","2317","8375","3445","7164","18.24","2","0.03","9.37","16.99","1254","3865","1398","3431","8.74","2","0.06","8.99","16.99","723","1935","561","2026-04-04"
"16 x 24 frame oak non reflective glass","954","2","120","4","3.33","1","50.0","1","100.0","45.99","45.99","0","0","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"27x40 inch art frame","230","3","66","2","3.03","1","33.33","1","100.0","87.99","87.99","0","0","1","1","33.33","1","100.0","87.99","87.99","0","0","1","0","0.0","0",,,,"0","0","0","2026-04-04"
"12 inch deep x 20 inches wide small shelf bathroom wall mount","624","18","435","11","2.53","12","66.67","1","8.33","29.99","26.99","0","2","10","1","5.56","0","0.0","46.99",,"0","0","1","1","5.56","0","0.0","46.99",,"0","0","1","2026-04-04"
"white floating shelves for bedroom 12 inch depth","942","25","452","41","9.07","1","4.0","0","0.0","50.39",,"0","0","1","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"thin wood frame","579","65","1929","13","0.67","31","47.69","1","3.23","26.99","20.99","3","18","6","4","6.15","0","0.0","20.99",,"2","1","0","1","1.54","0","0.0","17.99",,"1","0","0","2026-04-04"
"decorative wall brackets for shelves","949","49","1087","4","0.37","11","22.45","1","9.09","21.99","24.99","0","4","4","4","8.16","0","0.0","29.99",,"0","1","1","1","2.04","0","0.0","39.99",,"0","0","1","2026-04-04"
"18x20 frame matted to 16x20","169","13","285","6","2.11","7","53.85","1","14.29","53.99","53.99","0","1","5","1","7.69","1","100.0","53.99","53.99","0","0","1","0","0.0","0",,,,"0","0","0","2026-04-04"
"11x14 picture frame","11","31830","778976","545","0.07","14831","46.59","10","0.07","8.99","24.99","2903","7271","2767","6811","21.4","2","0.03","7.89","22.99","1562","3440","1119","3114","9.78","0","0.0","6.99",,"831","1612","473","2026-04-04"
"8.5x11 frame","325","1184","39339","43","0.11","527","44.51","2","0.38","9.99","19.99","98","243","95","255","21.54","0","0.0","7.99",,"51","120","44","136","11.49","0","0.0","6.99",,"28","73","17","2026-04-04"
"wall shelves","425","65977","1641492","30","0.0","22976","34.82","1","0.0","23.99","65.99","3678","9213","4726","4726","7.16","0","0.0","23.08",,"845","1849","990","727","1.1","0","0.0","21.99",,"204","315","133","2026-04-04"
"wooden wall shelves with brackets","747","17","400","7","1.75","8","47.06","1","12.5","37.99","63.99","0","0","3","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"24x30 frame rustic wood","900","11","240","4","1.67","8","72.73","1","12.5","45.99","73.99","0","0","1","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"solid wood walnut frames 16x20","969","8","176","4","2.27","2","25.0","1","50.0","26.99","26.99","0","0","0","1","12.5","0","0.0","28.99",,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"16 inch white shelves l bracket heavy","158","4","90","8","8.89","1","25.0","1","100.0","41.99","41.99","0","1","0","1","25.0","1","100.0","41.99","41.99","0","1","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"matte frame to 10around it natural","870","6","168","5","2.98","10","166.67","1","10.0","22.77","22.99","0","2","4","1","16.67","0","0.0","23.39",,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"attachable shelves","130","29","711","20","2.81","8","27.59","1","12.5","25.0","62.07","1","2","3","2","6.9","1","50.0","31.99","62.07","0","0","1","0","0.0","0",,,,"0","0","0","2026-04-04"
"36x24 picture frame natural wood glass","517","12","253","17","6.72","8","66.67","1","12.5","50.99","76.99","0","0","4","2","16.67","0","0.0","42.99",,"0","0","2","0","0.0","0",,,,"0","0","0","2026-04-04"
"heavy duty floating shelves for wall","412","168","3688","35","0.95","71","42.26","1","1.41","65.99","72.99","5","20","16","9","5.36","0","0.0","69.99",,"0","4","5","1","0.6","0","0.0","25.99",,"0","1","0","2026-04-04"
"two large picture frames","575","13","254","13","5.12","6","46.15","1","16.67","14.99","83.99","2","3","0","1","7.69","0","0.0","6.99",,"1","0","0","1","7.69","0","0.0","6.99",,"1","0","0","2026-04-04"
"industrial shelf 12 inch deep","700","6","320","8","2.5","4","66.67","1","25.0","27.98","63.99","0","3","1","1","16.67","0","0.0","27.98",,"0","1","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"small shelves for wall","330","1269","32351","41","0.13","515","40.58","2","0.39","16.99","26.99","58","234","127","113","8.9","0","0.0","16.82",,"12","47","24","22","1.73","0","0.0","13.59",,"3","15","3","2026-04-04"
"41 inch shelf","662","70","1566","10","0.64","45","64.29","1","2.22","49.99","63.99","1","13","12","2","2.86","0","0.0","34.95",,"0","1","1","0","0.0","0",,,,"0","0","0","2026-04-04"
"live edge floating shelves 48 inch long","437","20","579","26","4.49","18","90.0","1","5.56","95.99","102.99","0","1","5","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"16x24 frame with mat","683","219","6679","46","0.69","80","36.53","0","0.0","34.99",,"4","15","27","20","9.13","0","0.0","34.38",,"1","3","8","7","3.2","0","0.0","29.99",,"0","3","2","2026-04-04"
"picture frame for 8.5x5.5 print wood","212","3","66","2","3.03","1","33.33","1","100.0","17.99","17.99","0","0","1","1","33.33","1","100.0","17.99","17.99","0","0","1","0","0.0","0",,,,"0","0","0","2026-04-04"
"4 x 6 walnut frame","175","5","176","6","3.41","5","100.0","1","20.0","14.99","14.99","0","2","3","3","60.0","1","33.33","9.99","14.99","0","1","2","0","0.0","0",,,,"0","0","0","2026-04-04"
"frame with 12x12 mat opening","977","41","1060","4","0.38","16","39.02","1","6.25","23.99","42.99","5","3","3","2","4.88","0","0.0","23.01",,"1","0","1","1","2.44","0","0.0","32.36",,"1","0","0","2026-04-04"
"9 inch deep rustic shelves with metal brackets","105","6","132","12","9.09","2","33.33","2","100.0","24.99","24.99","0","0","2","1","16.67","1","100.0","25.99","25.99","0","0","1","0","0.0","0",,,,"0","0","0","2026-04-04"
"frames","318","24637","697010","84","0.01","5704","23.15","1","0.02","18.99","21.99","937","2429","1079","1679","6.81","0","0.0","18.99",,"314","747","327","507","2.06","0","0.0","17.99",,"115","250","75","2026-04-04"
"rustic picture frames","135","1471","37222","14","0.04","478","32.49","1","0.21","19.99","24.99","35","165","145","173","11.76","1","0.58","19.99","24.99","10","51","58","19","1.29","0","0.0","19.99",,"0","4","12","2026-04-04"
"11x14 walnut frame","71","82","2290","57","2.49","38","46.34","4","10.53","24.99","24.99","1","20","11","17","20.73","2","11.76","16.99","24.99","1","8","3","4","4.88","0","0.0","16.99",,"0","4","0","2026-04-04"
"distressed solid wood floating shelves","930","4","84","4","4.76","4","100.0","1","25.0","104.49","113.99","0","0","4","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"heavy duty wall shelves","409","562","14652","73","0.5","212","37.72","0","0.0","49.99",,"13","70","61","33","5.87","0","0.0","59.99",,"2","11","11","10","1.78","0","0.0","72.0",,"1","4","5","2026-04-04"
"20x24 art frame pastels","845","11","235","5","2.13","7","63.64","1","14.29","39.03","49.99","0","0","4","3","27.27","0","0.0","56.99",,"0","0","2","0","0.0","0",,,,"0","0","0","2026-04-04"
"24 x 36 picture frame matted","145","38","1793","10","0.56","15","39.47","1","6.67","48.89","83.99","0","2","3","5","13.16","1","20.0","61.05","83.99","0","1","2","0","0.0","0",,,,"0","0","0","2026-04-04"
"28x40 matted to 24x36 frame","466","27","783","23","2.94","11","40.74","1","9.09","74.99","83.99","0","0","7","5","18.52","0","0.0","74.99",,"0","0","3","1","3.7","0","0.0","98.99",,"0","0","1","2026-04-04"
"wide wall shelves heavy duty","976","3","67","4","5.97","1","33.33","1","100.0","48.99","48.99","0","0","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"18x24 frame modern burl wood brown","172","7","155","6","3.87","4","57.14","1","25.0","49.99","49.99","0","1","0","1","14.29","1","100.0","49.99","49.99","0","0","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"coffee bar shelves","650","611","15307","10","0.07","186","30.44","1","0.54","25.64","24.99","18","77","58","41","6.71","0","0.0","23.99",,"3","24","9","9","1.47","0","0.0","23.99",,"0","5","2","2026-04-04"
"non glare glass for a picture frame","736","6","127","7","5.51","6","100.0","1","16.67","16.99","24.99","0","0","1","1","16.67","0","0.0","28.39",,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"wood floating shelves for wall","369","355","9540","49","0.51","151","42.54","1","0.66","31.99","94.99","14","57","50","18","5.07","0","0.0","25.64",,"5","4","5","4","1.13","0","0.0","22.9",,"2","1","1","2026-04-04"
"12 16 picture frame","455","340","8344","24","0.29","150","44.12","1","0.67","8.99","25.99","30","47","27","69","20.29","0","0.0","8.99",,"20","22","12","21","6.18","0","0.0","8.86",,"5","8","3","2026-04-04"
"48 inch solid wood shelf","563","24","1054","13","1.23","9","37.5","1","11.11","68.0","102.99","0","3","3","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"laptop shelf wall mount","816","27","543","6","1.1","12","44.44","1","8.33","19.99","26.99","0","3","7","7","25.93","0","0.0","14.99",,"0","3","3","2","7.41","0","0.0","7.99",,"0","1","0","2026-04-04"
"pictures frames all sizes","171","127","2660","6","0.23","17","13.39","1","5.88","19.89","45.99","0","7","6","5","3.94","1","20.0","28.99","45.99","0","1","2","0","0.0","0",,,,"0","0","0","2026-04-04"
"white and black shelves for bedroom","718","12","255","8","3.14","4","33.33","1","25.0","23.97","26.99","0","4","0","1","8.33","0","0.0","23.97",,"0","1","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"matted frame","628","232","6878","11","0.16","69","29.74","1","1.45","24.29","20.99","12","28","13","5","2.16","0","0.0","31.42",,"0","2","1","2","0.86","0","0.0","8.49",,"0","1","1","2026-04-04"
"16 x 24 poster frame","633","598","17364","10","0.06","262","43.81","1","0.38","22.99","45.99","13","87","107","117","19.57","0","0.0","22.99",,"7","43","50","50","8.36","0","0.0","21.59",,"3","14","24","2026-04-04"
"22x28 frame matted","168","10","215","6","2.79","7","70.0","1","14.29","63.99","67.99","0","3","3","6","60.0","1","16.67","57.99","67.99","0","3","3","0","0.0","0",,,,"0","0","0","2026-04-04"
"28 x 40 thin wood frame","901","5","104","4","3.85","3","60.0","1","33.33","87.99","87.99","0","0","0","1","20.0","0","0.0","58.07",,"0","0","0","1","20.0","0","0.0","58.07",,"0","0","0","2026-04-04"
"48 x 8 floating shelf","561","17","451","13","2.88","10","58.82","1","10.0","90.94","102.99","0","5","1","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"dark wood floating shelves live edge","549","7","155","15","9.68","4","57.14","1","25.0","114.99","114.99","0","0","1","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"wall book shelf","121","2386","60790","32","0.05","875","36.67","1","0.11","28.04","28.99","82","359","214","190","7.96","1","0.53","27.47","28.99","14","79","61","22","0.92","0","0.0","25.99",,"2","14","3","2026-04-04"
"24x30 frame with mat walnut","194","3","66","3","4.55","2","66.67","1","50.0","73.99","73.99","0","0","1","1","33.33","1","100.0","73.99","73.99","0","0","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"decorative white shelves for wall","625","18","502","11","2.19","4","22.22","1","25.0","39.99","48.99","0","0","1","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"white floating shelves 8 inch deep","120","39","878","34","3.87","24","61.54","1","4.17","27.54","24.99","11","11","1","10","25.64","1","10.0","24.99","24.99","5","4","1","0","0.0","0",,,,"0","0","0","2026-04-04"
"wooden wall mounted shelves 12 inch depth","154","3","66","9","13.64","2","66.67","1","50.0","23.99","28.99","0","1","0","1","33.33","1","100.0","28.99","28.99","0","0","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"8.5x11 picture frame","273","3075","83057","163","0.2","1372","44.62","2","0.15","7.99","21.99","258","656","276","667","21.69","0","0.0","6.09",,"145","334","121","389","12.65","0","0.0","5.99",,"87","195","72","2026-04-04"
"live edge shelves","276","586","15857","175","1.1","237","40.44","1","0.42","63.99","114.99","10","58","59","39","6.66","0","0.0","45.98",,"4","14","10","4","0.68","0","0.0","50.0",,"1","1","1","2026-04-04"
"16x24 bronze wood frame with mat","744","7","153","7","4.58","5","71.43","1","20.0","45.99","45.99","0","0","3","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"heavy duty wall bookshelf","692","13","344","9","2.62","3","23.08","1","33.33","29.99","28.99","0","0","1","1","7.69","0","0.0","29.99",,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-04"
"heavy duty shelves","140","1834","49682","12","0.02","619","33.75","1","0.16","54.99","51.99","25","52","58","95","5.18","1","1.05","59.99","51.99","6","9","8","20","1.09","0","0.0","69.99",,"2","2","3","2026-04-04"
